New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
Key pressed, nChar :83, nRepCnt :1, nFlags :31
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =9, active_pos.x=99, active_pos.y=99
Key pressed, nChar :37, nRepCnt :1, nFlags :331
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
Key pressed, nChar :40, nRepCnt :1, nFlags :336
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
New: painting ActivePieces, active_piece =9, active_pos.x=98, active_pos.y=98
Key pressed, nChar :37, nRepCnt :1, nFlags :331
New: painting ActivePieces, active_piece =9, active_pos.x=97, active_pos.y=97
New: painting ActivePieces, active_piece =9, active_pos.x=97, active_pos.y=97
Key pressed, nChar :37, nRepCnt :1, nFlags :16715
New: painting ActivePieces, active_piece =9, active_pos.x=96, active_pos.y=96
Key pressed, nChar :37, nRepCnt :1, nFlags :16715
New: painting ActivePieces, active_piece =9, active_pos.x=95, active_pos.y=95
Key pressed, nChar :37, nRepCnt :1, nFlags :16715
Key pressed, nChar :37, nRepCnt :1, nFlags :16715
New: painting ActivePieces, active_piece =9, active_pos.x=93, active_pos.y=93
Key pressed, nChar :37, nRepCnt :1, nFlags :16715
New: painting ActivePieces, active_piece =10, active_pos.x=97, active_pos.y=97
Key pressed, nChar :37, nRepCnt :2, nFlags :16715
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
Key pressed, nChar :37, nRepCnt :1, nFlags :331
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
Key pressed, nChar :37, nRepCnt :1, nFlags :331
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
Key pressed, nChar :37, nRepCnt :1, nFlags :331
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
Key pressed, nChar :37, nRepCnt :1, nFlags :331
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
Key pressed, nChar :37, nRepCnt :1, nFlags :331
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
New: painting ActivePieces, active_piece =10, active_pos.x=96, active_pos.y=96
