New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =2, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =5, active_pos.x=0, active_pos.y=0
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =5, active_pos.x=8, active_pos.y=8
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =6, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =1, active_pos.x=99, active_pos.y=99
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
New: painting ActivePieces, active_piece =5, active_pos.x=16, active_pos.y=16
